"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"com.github.kboyle.oktane.benchmark.CallbackExecutionBenchmarks.directNoParameters","avgt",1,5,2.889810,0.025805,"ns/op"
"com.github.kboyle.oktane.benchmark.CallbackExecutionBenchmarks.directOneParameter","avgt",1,5,2.880330,0.034097,"ns/op"
"com.github.kboyle.oktane.benchmark.CallbackExecutionBenchmarks.directTwoParameters","avgt",1,5,2.890789,0.070585,"ns/op"
"com.github.kboyle.oktane.benchmark.CallbackExecutionBenchmarks.generatedNoParameters","avgt",1,5,2.868202,0.008428,"ns/op"
"com.github.kboyle.oktane.benchmark.CallbackExecutionBenchmarks.generatedOneParameter","avgt",1,5,2.814168,0.015859,"ns/op"
"com.github.kboyle.oktane.benchmark.CallbackExecutionBenchmarks.generatedTwoParameters","avgt",1,5,3.006433,0.007553,"ns/op"
"com.github.kboyle.oktane.benchmark.DefaultArgumentParserBenchmarks.greedyParameterFourValues","avgt",1,5,61.970420,0.588173,"ns/op"
"com.github.kboyle.oktane.benchmark.DefaultArgumentParserBenchmarks.greedyParameterOneValue","avgt",1,5,26.456404,1.630372,"ns/op"
"com.github.kboyle.oktane.benchmark.DefaultArgumentParserBenchmarks.greedyParameterOneValueVargsParameterOneValue","avgt",1,5,43.030399,1.080916,"ns/op"
"com.github.kboyle.oktane.benchmark.DefaultArgumentParserBenchmarks.noParameters","avgt",1,5,2.297520,0.013531,"ns/op"
"com.github.kboyle.oktane.benchmark.DefaultArgumentParserBenchmarks.oneParameter","avgt",1,5,7.747079,0.066679,"ns/op"
"com.github.kboyle.oktane.benchmark.DefaultArgumentParserBenchmarks.twoParameter","avgt",1,5,12.246994,0.736480,"ns/op"
"com.github.kboyle.oktane.benchmark.DefaultArgumentParserBenchmarks.vargsParameterFourValues","avgt",1,5,85.447446,0.523058,"ns/op"
"com.github.kboyle.oktane.benchmark.DefaultArgumentParserBenchmarks.vargsParameterOneValue","avgt",1,5,25.087469,1.778549,"ns/op"
"com.github.kboyle.oktane.benchmark.DefaultTokeniserBenchmarks.greedyParameterFourValues","avgt",1,5,127.016819,5.954214,"ns/op"
"com.github.kboyle.oktane.benchmark.DefaultTokeniserBenchmarks.greedyParameterFourValuesVargsParameterFourValues","avgt",1,5,207.683719,16.796683,"ns/op"
"com.github.kboyle.oktane.benchmark.DefaultTokeniserBenchmarks.greedyParameterOneValue","avgt",1,5,53.218093,1.211140,"ns/op"
"com.github.kboyle.oktane.benchmark.DefaultTokeniserBenchmarks.greedyParameterOneValueVargsParameterOneValue","avgt",1,5,56.826078,2.545768,"ns/op"
"com.github.kboyle.oktane.benchmark.DefaultTokeniserBenchmarks.noParameters","avgt",1,5,6.753906,0.036553,"ns/op"
"com.github.kboyle.oktane.benchmark.DefaultTokeniserBenchmarks.oneParameter","avgt",1,5,28.880804,0.316085,"ns/op"
"com.github.kboyle.oktane.benchmark.DefaultTokeniserBenchmarks.oneRemainder","avgt",1,5,16.177348,0.278190,"ns/op"
"com.github.kboyle.oktane.benchmark.DefaultTokeniserBenchmarks.twoParameter","avgt",1,5,63.122706,4.452498,"ns/op"
"com.github.kboyle.oktane.benchmark.DefaultTokeniserBenchmarks.twoParameterQuoted","avgt",1,5,56.897300,1.074536,"ns/op"
"com.github.kboyle.oktane.benchmark.DefaultTokeniserBenchmarks.vargsParameterFourValues","avgt",1,5,161.631505,1.502967,"ns/op"
"com.github.kboyle.oktane.benchmark.DefaultTokeniserBenchmarks.vargsParameterOneValue","avgt",1,5,28.582108,0.184631,"ns/op"
